PPN_TP_Record,GND_ID
86903586,http://d-nb.info/gnd/11856255X
08690356X,http://d-nb.info/gnd/118562533
86903551,http://d-nb.info/gnd/118562525
86903519,http://d-nb.info/gnd/118562487
86903403,http://d-nb.info/gnd/118562371
86903373,http://d-nb.info/gnd/118562347
86903349,http://d-nb.info/gnd/118562312
86903322,http://d-nb.info/gnd/118562290
86903225,http://d-nb.info/gnd/118562193
86903012,http://d-nb.info/gnd/118561987
86902938,http://d-nb.info/gnd/118561901
86902741,http://d-nb.info/gnd/118561715
86902717,http://d-nb.info/gnd/118561685
86902601,http://d-nb.info/gnd/11856157X
86902571,http://d-nb.info/gnd/118561545
86902385,http://d-nb.info/gnd/118561359
86902377,http://d-nb.info/gnd/118561340
86902199,http://d-nb.info/gnd/118561162
86902075,http://d-nb.info/gnd/118561049
86902032,http://d-nb.info/gnd/118561006
86901893,http://d-nb.info/gnd/118560867
86901834,http://d-nb.info/gnd/118560808
86901540,http://d-nb.info/gnd/118560514
86901397,http://d-nb.info/gnd/118560360
86901222,http://d-nb.info/gnd/118560190
86901044,http://d-nb.info/gnd/118560018
08690096X,http://d-nb.info/gnd/118559931
86900889,http://d-nb.info/gnd/118559850
86900854,http://d-nb.info/gnd/118559826
86900846,http://d-nb.info/gnd/118559818
08690082X,http://d-nb.info/gnd/118559796
86900765,http://d-nb.info/gnd/118559737
86900684,http://d-nb.info/gnd/118559656
86900552,http://d-nb.info/gnd/118559524
86900463,http://d-nb.info/gnd/118559435
86900358,http://d-nb.info/gnd/11855932X
86900293,http://d-nb.info/gnd/118559265
86900269,http://d-nb.info/gnd/118559230
86900234,http://d-nb.info/gnd/118559206
86900099,http://d-nb.info/gnd/118559060
86899953,http://d-nb.info/gnd/118558927
86899899,http://d-nb.info/gnd/118558862
86899686,http://d-nb.info/gnd/11855865X
86899449,http://d-nb.info/gnd/118558412
86899422,http://d-nb.info/gnd/118558390
86899406,http://d-nb.info/gnd/118558374
08689935X,http://d-nb.info/gnd/118558323
86899252,http://d-nb.info/gnd/118558226
86899228,http://d-nb.info/gnd/118558196
86899201,http://d-nb.info/gnd/11855817X
86899198,http://d-nb.info/gnd/118558161
86899090,http://d-nb.info/gnd/118558064
86898930,http://d-nb.info/gnd/118557904
86898868,http://d-nb.info/gnd/118557831
86898841,http://d-nb.info/gnd/118557815
86898736,http://d-nb.info/gnd/11855770X
86898590,http://d-nb.info/gnd/118557564
86898566,http://d-nb.info/gnd/11855753X
08689854X,http://d-nb.info/gnd/118557513
86898493,http://d-nb.info/gnd/118557467
86898426,http://d-nb.info/gnd/118557394
86898353,http://d-nb.info/gnd/118557327
86898337,http://d-nb.info/gnd/118557300
86898248,http://d-nb.info/gnd/118557211
86898132,http://d-nb.info/gnd/118557106
08689790X,http://d-nb.info/gnd/118556878
86897462,http://d-nb.info/gnd/118556436
86897454,http://d-nb.info/gnd/118556428
86897349,http://d-nb.info/gnd/118556312
86897276,http://d-nb.info/gnd/11855624X
86897225,http://d-nb.info/gnd/118556193
86897136,http://d-nb.info/gnd/11855610X
86897020,http://d-nb.info/gnd/118555995
08689661X,http://d-nb.info/gnd/118555588
08689658X,http://d-nb.info/gnd/118555553
86896318,http://d-nb.info/gnd/118555286
08689613X,http://d-nb.info/gnd/118555103
86895818,http://d-nb.info/gnd/118554786
86895796,http://d-nb.info/gnd/11855476X
86895737,http://d-nb.info/gnd/118554700
86895680,http://d-nb.info/gnd/118554654
86895494,http://d-nb.info/gnd/118554468
86895427,http://d-nb.info/gnd/118554395
86895419,http://d-nb.info/gnd/118554387
86895354,http://d-nb.info/gnd/118554328
86895303,http://d-nb.info/gnd/118554271
86895222,http://d-nb.info/gnd/118554190
86894951,http://d-nb.info/gnd/118553925
86894935,http://d-nb.info/gnd/118553909
08689479X,http://d-nb.info/gnd/118553763
86894765,http://d-nb.info/gnd/118553739
86894684,http://d-nb.info/gnd/118553658
86894641,http://d-nb.info/gnd/118553615
86894366,http://d-nb.info/gnd/11855333X
86894358,http://d-nb.info/gnd/118553321
86894072,http://d-nb.info/gnd/118553046
86893998,http://d-nb.info/gnd/118552961
08689398X,http://d-nb.info/gnd/118552953
86893823,http://d-nb.info/gnd/118552791
86893785,http://d-nb.info/gnd/118552759
86893610,http://d-nb.info/gnd/118552589
86893521,http://d-nb.info/gnd/11855249X
86893491,http://d-nb.info/gnd/118552465
86893289,http://d-nb.info/gnd/118552252
86893114,http://d-nb.info/gnd/118552082
86893025,http://d-nb.info/gnd/11855199X
86893017,http://d-nb.info/gnd/118551981
86892967,http://d-nb.info/gnd/118551930
86892908,http://d-nb.info/gnd/118551876
86892789,http://d-nb.info/gnd/118551752
86892770,http://d-nb.info/gnd/118551744
86892762,http://d-nb.info/gnd/118551736
86892681,http://d-nb.info/gnd/118551655
08689255X,http://d-nb.info/gnd/118551523
86892533,http://d-nb.info/gnd/118551507
86892525,http://d-nb.info/gnd/118551493
86892436,http://d-nb.info/gnd/11855140X
86892274,http://d-nb.info/gnd/118551248
08689224X,http://d-nb.info/gnd/118551213
86892185,http://d-nb.info/gnd/118551159
86892169,http://d-nb.info/gnd/118551132
86892045,http://d-nb.info/gnd/118551019
86891944,http://d-nb.info/gnd/118550918
08689188X,http://d-nb.info/gnd/118550853
86891804,http://d-nb.info/gnd/118550772
86891723,http://d-nb.info/gnd/118550691
08689160X,http://d-nb.info/gnd/118550578
86891456,http://d-nb.info/gnd/11855042X
86891405,http://d-nb.info/gnd/118550373
86891278,http://d-nb.info/gnd/118550241
